review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R1JWJ95BYVWRD0,B0C2W1KLSS,"5.0 out of 5 stars An alternative to AirPod Pros? Yes, but with a slight lower quality difference. Worth it? Yes",Matthew Martínez,5,"I compared these beats with AirPod pros. Both are Apple products.The beats have a smaller range of volume, the lowest volume is pretty loud for the “lowest volume”. Each level for volume going up is minimal compared to the AirPods. (At around 1/3 of the volume they match volume. AirPods get a lot quieter and ALOT louder, I’d say 10% louder) The beats are loud enough for me I leave it at 3/4 of volume.Noise cancellation is really good, some noise filters through in loud environments but it’s enough when you’re at the gym and busy places. I experienced noise filtering through when I was in a car with music blasting. So I’d rate the noise cancellation pretty high.Pass through, pass through is good. I’d recommend not having the pass through when there’s lots of noise cause it’s good and personally it can get loud. When there’s a sudden loud noise the earbuds make the same loud noise and it could hurt your ears if you have sensitive hearing.Cons, when in loud environments if you are on a call the earbuds filter out the noise, and when you speak it filters your voice a bit too which makes it hard for the other person on the other end to hear you. Also the bit about the loud noise with the pass through and sensitive ears is a con for me.Battery life is really good, lasts me my work day and a bit more, I’m sure like all batteries that would go down after use but hasn’t happened to me yet I’ve had it for 2 months now.Bluetooth, the Bluetooth is pretty strong. You could probably still have a connection a few rooms away in a house before the connection begins to fail. Unlike AirPods when you remove the bud from an ear whatever is playing will not pause unless YOU pause it. This means it’s constantly connected, when you are within the Bluetooth radius of course. I’ve lost a bud twice but this actually helped me find it, so that’s a plus. And with these beats you cannot connect another pair to your phone like you can with AirPods. So it’s only on pair of beats at a time.I really like the earbuds and I think they are well worth the price, to me they are a barely lesser version of AirPod pros. I’m considering getting the studio pro’s over the AirPod max after this experience.Update 4 months later- The battery life is still very strong, I have had some issues with them disconnecting and reconnecting to my phone and I believe it’s because when I got my Apple Watch, it must be Confusing the connection between my phone and the watch. Yes, it can be annoying but to me, it’s still worth it. All really need to do is reconnect with my phone. I don’t think AirPods Will have this problem. But I’m not sure. There was one day where the noise cancellation on my right earbud stopped working, but it’s because I didn’t have enough battery so I had to charge it after that I had no issues.","Reviewed in the United States March 12, 2024",AFPNLCKHE6UN5JN6M77MOHLXXGGA,1,61,Color: IvoryStyle: Studio Buds +Set: Without AppleCare+
R2BD35HL2C6JSK,B0C2W1KLSS,5.0 out of 5 stars Read this Review (I'll tell you why I settled on these after researching for months!),Tuck VB,5,"You're probably like me, dragging your feet for months, researching and researching for hours trying to compare brand names (Bose, or JBL? Sennheiser, or Apple?). I finally settled on these, and here's why:1) I didn't want airpods. You probably also don't want airpods (if you're even reading this review). Not because of the quality, but because ""everyone has airpods"" and they're ""airpod people"" (sorry to all the airpod people, including my sister). I wanted to be different (hopefully no shame there?).2) My top priority was phone calls with my earbuds (make sure, even if you don't end up with these earbuds, that you determine your priorities, -clearly-). These earbuds have some of the best ""in ear"" calling I've seen (next to airpods).3) I wanted something low profile (also why I didn't want airpods with the ""stem""). These are very sleek, and don't look flashy in the ear. They're also not very cumbersome, and fit very snuggly. Very light, but durable - great design, even better build quality.4) Not a huge selling factor for me personally, but if you want noise cancellation, this is your stop. I just used these this morning on the train coming into Boston, sitting next to the door leading out of the coach, and was astonished with how adaptive it was to specifically tuning out the rattling of the train. These earbuds will adapt to the environments around them!5) The battery life is fantastic. Keep in mind, if you're in a loud area with the noise cancelling on, and it's working harder, you're going to blow through your battery faster - even that considered, I was still really impressed with the battery life!6) This is clearly designed to work seamlessly with Apple products. Pairing was a breeze, and the connectivity is strong. Beats and Apple had a beautiful handshake with this product, and it shows.7) Lastly, the sound quality. This is unmatched with anything I've used prior. Has very clear audio, and a great range of tone. The bass is powerful, while balancing defined treble tones.A couple things to consider:-These don't have wireless charging (unlike my other gadgets). I need to plug them into USB-C to charge. Might not be a big deal for you, but this is a drawback on my radar.-Get a protective case! The existing charging case is well built, and sturdy - but if you're like me, and you put your phone in a protective case, do the same for your earbuds. The case I got was drop proof, and didn't add much to the size (it doesn't take up much space in my pocket). It was $10 for peace of mind. Get an airtag too while you're at it!Overall, would recommend!","Reviewed in the United States January 2, 2024",AFYYCTAQAUEWFDXYF7BHMXS66TJQ,1,196,Color: Black/GoldStyle: Studio Buds +Set: Without AppleCare+
RWUFM677B047O,B0C2W1KLSS,5.0 out of 5 stars One of the best out there but...,Honest Reviewer Zach,5,"This is hands down one of the best earbuds in the world period. Some cons that I've noticed after using them are.Cons:-The left earbud has low static sound when nothing is playing.-The earbuds pick up a ton of background noise with their microphones. But it's normal.-Note that it's impossible to speak to someone on the phone while, for example you're at a pretty loud gym.-Putting one earbud into the case, pauses whatever you're playing from your phone.-I personally never use transparency mode. However, when putting one earbud into the case, it always switches to transparency mode, and you have to manually change it on the app. The app doesn't allow to set default modes.Pros:-They are build very strong, and earbuds wouldn't come apart and break even if you step on them.-Earbuds are able to connect/link to two devices at the same time and switch between them seamlessly. Few earbuds have this capability if any.-Additionally, earbuds are able to link to your Google account and connect to devices much easier.Overall, very good noise cancellation, sound quality, decent bass, battery life, charging speed, design, feel, and look.Two month update: Sometimes the system notifications get messed up - it notifies you about the percentage of the case and both earbuds every 5 seconds. Sometimes one of the earbuds goes out, without a low battery warning. Putting them into a case for a few seconds fixes this. Also sometimes the noise cancelling gets messed up - it does the exact opposite - adds noise. Again putting both of the earbuds for a couple of seconds into the case fixes this.Six month update:I had to send this product for repair (directly to apple) tree times before all issues were fixed. The first two times, it was free, but the third time I had to pay $84 for them to get fixed.","Reviewed in the United States November 29, 2023",AELKL63BZ7XFD27KO3R6BEVSDWRA,1,72,Color: TransparentStyle: Studio Buds +Set: Without AppleCare+
R13FS9E750HR39,B0C2W1KLSS,4.0 out of 5 stars Great for Daily Use,IT Nerd,4,"The media could not be loaded. Quick OverviewI bought these headphones to replace some other earbuds that were beginning to have issues and so far I have really enjoyed these headphones. Since these earbuds are made with Apple in mind, they have easy pairing just like Airpods. They also integrate with Siri to read your texts and notifications, etc. and give you a chance to respond which is a great feature I missed when using another brand. My only complaint at the moment is really just a minor inconvenience - because of the low profile of the earbuds they are harder to grab out of the case since only a few millimeters of the earbuds are sticking out to grab. If you have nails or bigger fingers you might find it annoying to grab out of the case.One of my favorite things about these earbuds is the fact that they have actual physical buttons, NOT have touch buttons. I wear hoodies and it’s so annoying when it brushes a touch button and pauses my music or turns noise cancelling on or off.Crisp and Clear Sound Quality:The sound quality is impressive across various genres of music. The earbuds deliver a well-balanced sound signature with clear vocals, detailed instrument separation, and a mostly satisfying bass response. The highs are crisp, without being harsh, and the mids are well-presented. The bass isn't as punchy as I would like, but with how small these earbuds are that is kind of to be expected. It does provides a good level of depth without overpowering the other frequencies, but if you like a lot of bass these might not be for you. Overall, the sound quality of will please most casual listeners alike and even some music enthusiasts. These earbuds lack customizable EQ settings. This may not be a big deal to some people, but I like to adjust the bass and the highs depending on the genre of music I am listening to.Comfortable and Secure Fit:These earbuds are designed with user comfort in mind. They come with multiple ear tip sizes to ensure a secure fit for different ear shapes. The lightweight and ergonomic design make them comfortable to wear. I've worn them for about 4 hours at a time and will sometimes forget they are there. Personally the Airpods didn't fit in my ear as well and these stay in better for me.Great Noise Cancellation:I prefer active noise cancellation because the fit of passive noise cancellation is usually less comfortable. These earbuds have a solid fit and use active noise cancellation which I prefer - and is pretty impressive. Typically I like to hear my environment when walking my dogs but the noise cancellation is so good I have to turn it off. I could keep noise cancellation on with my old headphones and it really just reduced how loud the noise was. This is also really helpful when I am on a call and my dogs are in the other room. I usually have to keep muting my mic because my dogs are barking, but when testing my girlfriend couldn't hear the dogs while we were on the phone.Incredibly Stable Bluetooth Connection:The connection between these earbuds and my phone is absolutely incredible. Bluetooth connection quality can vary quite a bit but these have one of the most stable and reliable connections that I have ever seen with wireless earbuds. There is virtually no latency. I left my phone in my bedroom and walked about 100 feet and went outside into the backyard and close the door. There wasn't even a stutter with the connection. Amazing.Battery Life:There is always a claim of an impressive battery life with high end earbuds. I haven't had a chance to test yet, but I plan to drain the battery completely on the earbuds and the case and track how long it takes to charge, how long the earbud batteries last, and how long the case battery lasts. I will update this review once I have had a chance to test!Overall the Beats Studio + offer a great audio experience and sound quality, comfortable fit, and amazing wireless connection. While there are a few minor inconveniences, none of them are dealbreakers and these earbuds are a great choice for anyone seeking a good pair of wireless earbuds.","Reviewed in the United States May 19, 2023",AGYDMBJ7K2SRHYL7DHHL37MLHDUQ,1,200,Color: TransparentStyle: Studio Buds +Set: Without AppleCare+
R2ECNO6PNEERO8,B0C2W1KLSS,5.0 out of 5 stars The best ear buds,BillTx3,5,"I have used many ear bud brands and these are the 1st ones that actually perform wonderfullyGreat fit, additional adapters included for ear fitEasy pairingExceptional sound qualityDurable constructionFast chargingPricing is very fairI would highly recommend!","Reviewed in the United States August 29, 2024",AEOWQ3HZK27H6KUAYSCA5PAWKGYQ,1,0,Color: TransparentStyle: Studio Buds +Set: Without AppleCare+
R32J1YNX3NHKAE,B0C2W1KLSS,3.0 out of 5 stars Thoroughly disappointed.,atomsk,3,"After having these for some time, I hate to say that I am thoroughly disappointed in them. I bought these to replace my trusty Bose QuietComfort Limited Editions that I’d had for maybe four years. Loved them. They died, and I wasn’t mad because they’d lasted through sweat, rain, dust, etc. Searched and searched for a replacement, bought these as I’d had good experiences with Beats products before. Total. Letdown. The audio quality is okay, but the noise cancellation is temperamental. Battery life is good, charging is good, but that’s about it. The fit is sketchy. They actually fall out of my ears when I sweat. I expect any earbuds to loosen or slip a bit, given my large, odd ears. These, actually fall out. I cannot get the fit to stay good, no matter what size cups I use. And the connectivity is bad. They routinely stop playing sound at random, and can only be restarted from my phone (which is an iPhone) and not from the buttons on the actual earbuds. They disconnect completely sometimes, too. Everything is updated, my device and the earbuds, still lackluster performance. Would not recommend or buy again.","Reviewed in the United States July 7, 2024",AHAIK4T6PLM5KOSY4IOEZI5KKJWA,1,10,Color: TransparentStyle: Studio Buds +Set: Without AppleCare+
R20GMM6TWWWDJE,B0C2W1KLSS,5.0 out of 5 stars AIRPORT MUST,Matthew Slana,5,"These headphones single-handedly saved my flight home. The noise cancellation saved my eardrums from the screaming child and the loud engines! It stays charged for the entire day, and super easy to use. it has 3 sizes for different ear shapes too! Great value for the moolah!","Reviewed in the United States September 7, 2024",AEXS363LYQOLI5VVD6LRPLVZUVKA,1,0,Color: TransparentStyle: Studio Buds +Set: Without AppleCare+
RAORBYYPJJ3F6,B0C2W1KLSS,"3.0 out of 5 stars Great for everyday use, but not for everyone.",Justin,3,"The build quality of the beats are phenomenal. The sound quality on the other hand was slacking. The vocal clarity was great for podcasts and watching movies but when I was listening to music with really any type of bass, the sound seemed to always crackle or breakup. The noise canceling on these earbuds are okay but by no means great. Were these really shine is the call quality. The voice clarity on both ends of a call was fantastic. The easy pair for IOS was very helpful and simple but I wish there was a EQ added. The comfort for me was great for the first hour but after that it really started to hurt my ears even after swapping ear tips. I would say these are great for everyday use and most people would really enjoy them but for me that really didn’t work out. I would recommend these to people if they don’t work in loud environments and listen to softer music or something of that nature. I do say these aren’t worth the price tag that is put on them but if you catch them on sale you won’t be disappointed.","Reviewed in the United States February 2, 2024",AEMAUUWREGQR3FBZXIPWQEZHGDNQ,1,12,Color: Cosmic SilverStyle: Studio Buds +Set: Without AppleCare+
R2M0EDL1MZCNGM,B0C2W1KLSS,4.0 out of 5 stars great gift - but sounds brassy on the other end to me,Beach Berries,4,"These were a gift. I notice that the user enjoys the features within. Quite an upgrade from old/no headphones. As the person they regularly talk to on the phone though, I notice a downgrade to being able to hear them. That might be because they move their head a lot while talking. It sounds brassy and garbled a lot. I have to ask them to repeat things more often. So I would not recommend these to someone buying them for someone you're going to talk on the phone with a lot. : / Otherwise, the user gives them 5 stars. Unfortunately they do not know what they sound like on the phone to others. Maybe it is user error, but it happens nearly every time, and when it is not garbly, it is brassy whereas it was not before with other headphones or speakerphone.","Reviewed in the United States August 24, 2024",AE7HEXO2ITBYHDTFVMCOQL5AB4KA,1,0,Color: TransparentStyle: Studio Buds +Set: Without AppleCare+
RBGBH2OL4FZXM,B0C2W1KLSS,4.0 out of 5 stars Great sound,ina320,4,"After many years of using Apple products, I decided to try Beats! They are so comfortable and the sound is Awesome! To be honest, I forget they’re in my ears, and there are many nights. I fall asleep and forget to remove them. When I wake up this still there and my ears don’t hurt. The only problem I have is getting them out of the case. I guess my hands are too smooth and soft because I can’t pick up the earpiece without using some things to help me. I wish they would make a little groove on the outside that doesn’t go into your ear, so you could grab it that’s the only complaint I have. But I guess that could be me also. I do love these though.","Reviewed in the United States August 24, 2024",AFDKK6NCF2V4LLGA2QQQKA6NC5NA,1,0,Color: TransparentStyle: Studio Buds +Set: Without AppleCare+
